dev_id,datetime,battery,batteryDiff,humidity,humidityDiff,temperature,temperatureDiff
r712-313f,2023-10-13 07:00:00,3.1,0.0,61.36,1.7899999999999991,21.96,-1.1099999999999994
r712-313f,2023-10-13 08:00:00,3.1,0.0,56.3,-5.060000000000002,21.28,-0.6799999999999997
r712-313f,2023-10-13 09:00:00,3.1,0.0,60.33,4.030000000000001,20.59,-0.6900000000000013
r712-313f,2023-10-13 10:00:00,3.1,0.0,61.23,0.8999999999999986,19.54,-1.0500000000000007
r712-313f,2023-10-13 11:00:00,3.1,0.0,82.59,21.360000000000007,18.87,-0.6699999999999982
r712-313f,2023-10-13 12:00:00,3.1,0.0,87.17,4.579999999999998,18.83,-0.0400000000000027
r712-313f,2023-10-13 13:00:00,3.1,0.0,89.8,2.6299999999999955,18.46,-0.3699999999999974
r712-313f,2023-10-13 14:00:00,3.1,0.0,91.75,1.9500000000000028,18.31,-0.1500000000000021
r712-313f,2023-10-13 16:00:00,3.1,0.0,93.02,1.269999999999996,17.63,-0.6799999999999997
r712-313f,2023-10-13 17:00:00,3.1,0.0,93.23,0.2100000000000079,17.35,-0.2799999999999976
r712-313f,2023-10-13 18:00:00,3.1,0.0,93.05,-0.1800000000000068,17.11,-0.240000000000002
r712-313f,2023-10-13 20:00:00,3.1,0.0,93.38,0.3299999999999983,16.73,-0.379999999999999
r712-313f,2023-10-13 21:00:00,3.1,0.0,93.43,0.0500000000000113,16.98,0.25
r712-313f,2023-10-13 22:00:00,3.1,0.0,92.62,-0.8100000000000023,17.56,0.5799999999999983
r712-313f,2023-10-13 23:00:00,3.1,0.0,89.87,-2.75,18.9,1.34
r712-313f,2023-10-14 01:00:00,3.1,0.0,73.9,-15.97,21.08,2.18
r712-313f,2023-10-14 02:00:00,3.1,0.0,73.35,-0.5500000000000114,21.36,0.2800000000000011
r712-313f,2023-10-14 03:00:00,3.1,0.0,65.96,-7.390000000000001,22.6,1.240000000000002
r712-313f,2023-10-14 04:00:00,3.1,0.0,70.79,4.8300000000000125,22.62,0.0199999999999995
r712-313f,2023-10-14 06:00:00,3.1,0.0,78.54,7.75,20.99,-1.6300000000000026
r712-313f,2023-10-14 07:00:00,3.1,0.0,80.65,2.1099999999999994,20.26,-0.7299999999999969
r712-313f,2023-10-14 08:00:00,3.1,0.0,83.83,3.1799999999999926,19.26,-1.0
r712-313f,2023-10-14 09:00:00,3.1,0.0,87.75,3.9200000000000017,18.62,-0.6400000000000006
